Title,n_chords,n_measures,chords_per_measure,pct_triad,pct_maj7,pct_m7,pct_dominant,pct_diminished,pct_extensions_9plus,mean_root_motion,pct_desc_fifth,root_pc_entropy,Year,Rhythm_Ballad,Rhythm_Bossa Nova,Rhythm_Calypso,Rhythm_Even 16ths,Rhythm_Even 8ths,Rhythm_Funk,Rhythm_Latin,Rhythm_Latin-Swing,Rhythm_Medium Slow,Rhythm_Medium Swing,Rhythm_Medium Up Swing,Rhythm_Rock Pop,Rhythm_Samba,Rhythm_Slow Rock,Rhythm_Slow Swing,Rhythm_Up Tempo Swing,Rhythm_Waltz,TimeSignature_3/4,TimeSignature_4/4,TimeSignature_5/4,TimeSignature_6/4,Key_Ab,Key_Amin,Key_B,Key_Bb,Key_Bbmin,Key_Bmin,Key_C#min,Key_Cmin,Key_D,Key_Db,Key_Dmin,Key_E,Key_Eb,Key_Ebmin,Key_Emin,Key_F,Key_F#min,Key_Fmin,Key_G,Key_G#min,Key_Gb,Key_Gmin
26-2,1.2443288486152386,-0.9137286207007821,2.1021094975648973,-0.8971501323406968,2.032590394896289,-0.6435982426204361,0.41034486405146187,-0.9142082548051846,-0.716948552276207,0.779477685329588,0.4392128523215475,1.0584907125124332,-0.27170942782479973,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
500 Miles High,-1.3211615527898155,0.9992738846900391,-1.3946320435372124,-0.8971501323406968,0.3941618495456593,2.166026803551694,-1.5023236472674932,1.3057567206820127,0.10364915684472498,-2.1610120998022904,-1.9896982273054076,0.9575206297763668,0.615671934839841,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
502 Blues,-1.3211615527898155,1.3818743857682034,-1.4655337153383612,-0.8971501323406968,0.7712604829993756,0.20267436164827765,-0.44580199339607035,2.045745045844412,0.6507142962586797,0.3414672277526525,0.13210915259859918,0.24149706357670364,0.008516265648244668,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52nd Street Theme,-0.18094359660979142,-0.9137286207007821,0.6518480289050361,0.881319919943112,-1.1142326842692063,0.5126773787909223,-0.15386837851054572,-0.9142082548051846,-0.716948552276207,0.7991802914349203,0.977964797290061,-1.2553115780420048,1.1761233217859297,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9.20 Special,-0.2522072188710429,-0.5311281196226179,0.042738212067894556,1.690443682468629,-1.1142326842692063,-1.7606780802551385,0.6892449185333634,-0.9142082548051846,0.42153835947715823,-0.7410005743990208,-0.7166137993630035,-0.03748357141655098,0.5222633703488261,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A Ballad,2.9546557828852746,0.807973634150957,0.6945027779832672,-0.4163848539794233,-0.10250464329582089,1.1364639376755126,-0.38137994133073955,-0.12007444243578073,0.38385325264211645,0.4843148849280928,0.39733507508659965,1.5877676650184702,-0.03818801659726274,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A Beautiful Friendship,-0.8935798192223064,-0.9137286207007821,-0.07328270542489444,-0.696013638332409,0.36722623287039385,-0.4751496956755206,0.8182506996286676,0.24863054187858527,0.14272523823143604,0.7294485188464417,0.5152132628590445,0.38331835869482495,-0.22500514557929235,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A Blossom Fell,-0.18094359660979142,-0.14852761854445362,-0.2666509012462093,0.881319919943112,-0.022631376903185233,-0.43455406247826966,-0.4597035941049049,-0.48579396129011154,-0.716948552276207,-0.45874418512828885,-0.30993405154806913,-0.8956383603572472,0.3354462413667965,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A Certain Smile,-0.18094359660979142,-0.9137286207007821,0.6518480289050361,-0.15612094388910985,0.19568888457001898,1.0810162435524377,-0.6126212019020844,-0.48579396129011154,-0.5585875908669043,0.9973653293179637,1.2790320606548187,-0.3882374843023353,0.5222633703488261,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
A Child Is Born,-0.7510525746998035,0.6166733836118748,-1.0159526600538042,0.4169416285134509,0.8215403007932045,-0.8008168864356905,-0.16406288569702437,-0.371550149686092,-0.516358001157757,1.1602415386126492,1.2478871713412232,0.38673252770841854,0.849193346067378,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
