Title,Composer,Rhythm,TimeSignature,Key,Year
9.20 Special,Earl Warren,Medium Swing,4/4,,1941
26-2,John Coltrane,Medium Up Swing,4/4,F,1960
52nd Street Theme,Thelonious Monk,Up Tempo Swing,4/4,,1947
500 Miles High,Chick Corea,Bossa Nova,4/4,Emin,1972
502 Blues,Jimmy Rowles,Waltz,3/4,Amin,1958
A Ballad,Gerry Mulligan,Ballad,4/4,,1946
A Beautiful Friendship,Donald Kahn,Medium Swing,4/4,,1942
A Blossom Fell,Barnes-Cornelius,Ballad,4/4,Bb,1954
A Certain Smile,Fain-Webster,Medium Swing,4/4,F,1958
A Child Is Born,Roland Hanna,Waltz,3/4,Bb,1965
A Felicidade,Antonio-Carlos Jobim,Bossa Nova,4/4,Amin,1958
A Fine Romance,Jerome Kern,Medium Swing,4/4,,1936
A Flower Is A Lovesome Thing,Billy Strayhorn,Ballad,4/4,Db,1957
A Foggy Day,George Gershwin,Medium Swing,4/4,F,1937
A Ghost Of A Chance,Victor Young,Ballad,4/4,,1931
A Kiss To Build A Dream On,Kalmar-Ruby-Hammerstein,Medium Swing,4/4,,1935
A Little Tear,Deodato-Valle,Bossa Nova,4/4,Db,1960
A Lovely Way To Spend An Evening,Jimmy McHugh,Ballad,4/4,F,1943
A Night In Tunisia,Dizzy Gillespie,Latin,4/4,Dmin,1942
A Nightingale Sang In Berkeley Square,Manning Sherwin,Ballad,4/4,Eb,1939
A Pretty Girl Is Like A Melody,Irving Berlin,Medium Swing,4/4,G,1919
A Shade Of Jade,Joe Henderson,Up Tempo Swing,4/4,Cmin,1974
A Sleepin' Bee,Harold Arlen,Medium Swing,4/4,Ab,1954
A Smooth One,Benny Goodman,Medium Up Swing,4/4,F,1941
A Sound For Sore Ears,Jimmy Heath,Even 8ths,4/4,Eb,1982
A Sunday Kind Of Love,Belle-Prima-Leonard-Rhodes,Ballad,4/4,F,1946
A Taste Of Honey,Marlow-Scott,Waltz,3/4,Dmin,1961
A Time For Love,Johnny Mandel,Ballad,4/4,F,1966
A Tisket A Tasket,Traditional,Medium Swing,4/4,Eb,1938
A Weaver Of Dreams,Victor Young,Medium Swing,4/4,,1960
Ablution,Lennie Tristano,Medium Swing,4/4,Ab,1955
Ac-Cent-Tchu-Ate The Positive,Harold Arlen,Medium Swing,4/4,F,1944
Across The Alley From The Alamo,Joe Greene,Medium Swing,4/4,F,1946
Adam's Apple,Wayne Shorter,Even 8ths,4/4,Ab,1974
Affirmation,José Feliciano,Funk,4/4,Bmin,1977
African Flower,Duke Ellington,Latin,4/4,Ebmin,1962
"African Queen, The",Horace Silver,Medium Swing,4/4,Cmin,1951
Afro Blue,Mongo Santamaria,Waltz,3/4,Fmin,1959
Afro Centric,Joe Henderson,Up Tempo Swing,4/4,Db,1973
After You,Cole Porter,Ballad,4/4,,1979
After You've Gone,Henry Creamer,Up Tempo Swing,4/4,Bb,1918
Afternoon In Paris,John Lewis,Medium Swing,4/4,,1949
Again,Lionel Newman,Ballad,4/4,G,1948
Agua De Beber,Antonio-Carlos Jobim,Bossa Nova,4/4,Dmin,1959
Ahmid-6,Pat Metheny,Even 8ths,4/4,,2006
Ain't Misbehavin',Fats Waller,Medium Swing,4/4,,1929
Ain't She Sweet,Milton Ager,Medium Up Swing,4/4,Eb,1927
Airegin,Sonny Rollins,Up Tempo Swing,4/4,Fmin,1954
Airmail Special,Charlie Christian,Medium Up Swing,4/4,,1941
Aisha,McCoy Tyner,Ballad,4/4,Amin,1966
Alexander's Ragtime Band,Irving Berlin,Medium Swing,4/4,F,1911
Alfie,Burt Bacharach,Ballad,4/4,Bb,1963
Alfie's Theme,Sonny Rollins,Medium Swing,4/4,Bbmin,1966
Alice In Wonderland,Sammy Fain,Waltz,3/4,,1865
All About Ronnie,Joe Greene,Ballad,4/4,Bb,1945
All Alone,Irving Berlin,Waltz,3/4,F,1924
All At Once You Love Her,Rodgers-Hammerstein,Medium Swing,4/4,F,1955
All Blues,Miles Davis,Waltz,3/4,G,1959
All By Myself,Irving Berlin,Medium Swing,4/4,,1921
All God's Chillun Got Rhythm,Kahn-Kaper,Medium Up Swing,4/4,F,1937
All My Tomorrows,Jimmy Van-Heusen,Ballad,4/4,G,1959
All Of A Sudden My Heart Sings,Herpin-Jamblan-Rome,Ballad,4/4,,1939
All Of Me,Gerald Marks,Medium Swing,4/4,,1931
All Of You,Cole Porter,Medium Swing,4/4,Eb,1954
All Or Nothing At All,Arthur Altman,Medium Up Swing,4/4,Amin,1939
All The Things You Are,Jerome Kern,Medium Up Swing,4/4,Ab,1939
All The Way,Jimmy Van-Heusen,Ballad,4/4,Eb,1838
All Through The Day,Kern-Hammerstein,Medium Swing,4/4,F,1946
All Through The Night,Cole Porter,Medium Swing,4/4,F,1942
All Too Soon,Duke Ellington,Ballad,4/4,,1940
Almost Like Being In Love,Frederick Loewe,Medium Swing,4/4,Ab,1947
Alone Together,Arthur Schwartz,Medium Swing,4/4,Dmin,1932
Alone Too Long,Arthur Schwartz,Ballad,4/4,G,1924
Along Came Betty,Benny Golson,Medium Swing,4/4,Ab,1958
Always,Irving Berlin,Waltz,3/4,F,1985
Always And Forever,Pat Metheny,Ballad,4/4,Amin,1992
Am I Blue?,Harry Akst,Medium Swing,4/4,F,1929
Among My Souvenirs,Horatio Nicholls,Ballad,4/4,Eb,1927
Ana Maria,Wayne Shorter,Even 8ths,4/4,G,1959
And On The Third Day,Michael Gibbs,Slow Rock,4/4,D,1973
And The Angels Sing,Ziggy Elman,Medium Swing,4/4,Eb,1944
Angel Eyes,Matt Dennis,Ballad,4/4,Cmin,1946
Anthropology,Charlie Parker,Up Tempo Swing,4/4,Bb,1946
Anything Goes,Cole Porter,Medium Swing,4/4,,1934
April,Lennie Tristano,Medium Up Swing,4/4,G,1969
April In Paris,Vernon Duke,Medium Swing,4/4,,1932
April Joy,Pat Metheny,Even 8ths,4/4,F,1982
April Skies,Buddy Collette,Medium Up Swing,4/4,G,1952
Aren't You Glad You're You,Jimmy Van-Heusen,Medium Swing,4/4,F,1945
Armageddon,Wayne Shorter,Medium Swing,4/4,Bbmin,1817
Armando's Rhumba,Chick Corea,Latin,4/4,Cmin,1941
As Long As I Live,Harold Arlen,Medium Swing,4/4,F,1946
As Time Goes By,Herman Hupfeld,Ballad,4/4,Eb,1931
Ask Me Now,Thelonious Monk,Ballad,4/4,Db,1951
At Last,Harry Warren,Medium Swing,4/4,,1941
At Long Last Love,Cole Porter,Medium Swing,4/4,,1938
Au Privave,Charlie Parker,Up Tempo Swing,4/4,F,1951
Autumn In New York,Vernon Duke,Ballad,4/4,F,1934
Autumn Leaves,Joseph Kosma,Medium Swing,4/4,Gmin,1947
Autumn Nocturne,Gannon-Myrow,Slow Swing,4/4,,1941
Avalon,Jolson-Sylva-Rose,Up Tempo Swing,4/4,Bb,1920
Ba-lue Bolivar Ba-lues-are,Thelonious Monk,Medium Swing,4/4,Bb,1959
"Baby, Won't You Please Come Home",Warfield-Williams,Medium Slow,4/4,G,1919
Backstage Sally,Wayne Shorter,Medium Swing,4/4,Fmin,1959
Bags and Trane,Milt Jackson,Medium Swing,4/4,Cmin,1961
Bags' Groove,Milt Jackson,Medium Swing,4/4,F,1952
"Balance, The",Dave Holland,Even 16ths,5/4,Gmin,1998
Ballad For Very Tired And Very Sad Lotus Eaters,Billy Strayhorn,Medium Swing,4/4,Ab,1956
Ballade,Charlie Parker,Ballad,4/4,F,1946
Baltimore Oriole,Hoagy Carmichael,Ballad,4/4,Gmin,1942
Barbados,Charlie Parker,Latin,4/4,F,1956
Barbara,Horace Silver,Waltz,6/4,Eb,1975
Bark For Barksdale,Gerry Mulligan,Up Tempo Swing,4/4,F,1954
Basin Street Blues,Spencer Williams,Slow Swing,4/4,Bb,1928
"Bat, The",Pat Metheny,Ballad,4/4,G,1946
"Baubles, Bangles and Beads",Borodin-Wright-Forrest,Waltz,3/4,Ab,1953
Be Careful It's My Heart,Irving Berlin,Medium Swing,4/4,F,1942
Be My Love,Nikolaus Brodszky,Medium Swing,4/4,G,1950
Be-Bop,Dizzy Gillespie,Up Tempo Swing,4/4,Fmin,1945
Beatrice,Sam Rivers,Medium Swing,4/4,F,1964
Beautiful Love,Victor Young,Medium Swing,4/4,Dmin,1931
Beauty And The Beast,Wayne Shorter,Funk,4/4,F,1889
Begin The Beguine,Cole Porter,Medium Swing,4/4,,1935
Bein' Green,Joe Raposo,Even 8ths,4/4,Bb,1970
Bemsha Swing,Thelonious Monk,Medium Swing,4/4,,1955
Benny's Tune,Lionel Loueke,Afro,6/4,Db,2005
Bernie's Tune,Bernie Miller,Medium Up Swing,4/4,Dmin,1952
Besame Mucho,Consuelo Velazques,Bossa Nova,4/4,Dmin,1932
Bess You Is My Woman,George Gershwin,Ballad,4/4,Bb,1959
Bessie's Blues,John Coltrane,Up Tempo Swing,4/4,Eb,1964
"Best Is Yet To Come (Page 1), The",Cy Coleman,Medium Swing,4/4,Ab,1959
"Best Is Yet To Come (Page 2), The",Cy Coleman,Medium Swing,4/4,Ab,1959
"Best Thing For You Is Me, The",Irving Berlin,Medium Swing,4/4,,1950
"Best Things In Life Are Free, The",DeSylva-Brown-Henderson,Medium Up Swing,4/4,,1927
Better Days Ahead,Pat Metheny,Samba,4/4,,1989
Better Git It In Your Soul,Charles Mingus,Up Tempo Swing,6/4,F,1959
Better Than Anything,Loughborough-Wheat,Waltz,3/4,D,1963
Between The Devil And The Deep Blue Sea,Harold Arlen,Medium Up Swing,4/4,F,1902
Bewitched,Richard Rodgers,Ballad,4/4,,1964
Beyond The Blue Horizon,Whiting-Harding,Medium Swing,4/4,Bb,1930
Beyond The Sea,Charles Trenet,Medium Swing,4/4,F,1943
Bidin' My Time,George Gershwin,Medium Swing,4/4,Eb,1930
Big Nick,John Coltrane,Medium Slow,4/4,G,1922
"Bill Bailey, Won't You Please Come Home",Hughie Cannon,Medium Up Swing,4/4,G,1902
Bill's Hit Tune,Bill Evans,Medium Swing,4/4,Cmin,1962
Billie's Bounce,Charlie Parker,Medium Up Swing,4/4,F,1945
Billy Boy,Traditional,Medium Up Swing,4/4,,1912
Birk's Works,Dizzy Gillespie,Up Tempo Swing,4/4,Fmin,1951
"Birth Of The Blues, The",Ray Henderson,Slow Swing,4/4,,1926
Black And Blue,Fats Waller,Slow Swing,4/4,,1929
